filepath;name;line;column
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetStartNamespaceDeclHandler;1710;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;doctype5;318;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_charRefNumber;1596;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetParsingStatus;2231;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_ns.c;XmlInitEncodingNS;79;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;initializeEncoding;4097;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_SetEndCdataSectionHandler;1642;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;testingAccountingGetCountBytesIndirect;7616;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;setElementTypePrefix;6281;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;little2_skipS;1757;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;XML_GetInputContext;2265;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;normal_contentTok;821;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_scanRef;542;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;notation4;684;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;getDebugLevel;8210;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;copy_salt_to_sipkey;6860;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmltok_impl.c;big2_attributeValueTok;1255;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlparse.c;hashTableDestroy;6976;1
/home/jonas/.cache/euf/libexpat-bbdfcfef/expat/lib/xmlrole.c;declClose;1177;1
