func_name;identity;result;runtime;driver;old_src;new_src
onig_is_code_in_cc;False;FAILURE;0:00:05.123261;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/onig_is_code_in_cc.c;src/regcomp.c;src/regcomp.c
backref_match_at_nested_level;True;NO_VCCS;0:00:04.933808;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/backref_match_at_nested_level_id.c;src/regexec.c;src/regexec.c
match_at;True;TIMEOUT;0:04:00.000760;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/match_at_id.c;src/regexec.c;src/regexec.c
scan_env_add_mem_entry;True;FAILURE;0:02:55.352506;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/scan_env_add_mem_entry_id.c;src/regparse.c;src/regparse.c
onig_node_free;None;VOID_RET;;;src/regparse.c;src/regparse.c
node_new_cclass;None;NO_ARGS;;;src/regparse.c;src/regparse.c
node_new_ctype;True;FAILURE;0:00:05.029267;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_ctype_id.c;src/regparse.c;src/regparse.c
node_new_list;True;FAILURE;0:00:05.026289;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_list_id.c;src/regparse.c;src/regparse.c
onig_node_new_alt;True;FAILURE;0:00:05.024692;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/onig_node_new_alt_id.c;src/regparse.c;src/regparse.c
onig_node_new_anchor;True;FAILURE;0:00:05.026798;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/onig_node_new_anchor_id.c;src/regparse.c;src/regparse.c
node_new_backref;True;FAILURE;0:00:05.128187;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_backref_id.c;src/regparse.c;src/regparse.c
node_new_call;True;FAILURE;0:00:05.026468;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_call_id.c;src/regparse.c;src/regparse.c
node_new_quantifier;True;FAILURE;0:00:05.035543;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_quantifier_id.c;src/regparse.c;src/regparse.c
node_new_enclose;True;FAILURE;0:00:05.029066;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_enclose_id.c;src/regparse.c;src/regparse.c
node_new_enclose_memory;True;FAILURE;0:00:05.026054;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_enclose_memory_id.c;src/regparse.c;src/regparse.c
onig_node_conv_to_str_node;None;VOID_RET;;;src/regparse.c;src/regparse.c
node_new_str;True;TIMEOUT;0:04:00.000691;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/node_new_str_id.c;src/regparse.c;src/regparse.c
is_invalid_quantifier_target;True;SUCCESS;0:00:05.027540;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/is_invalid_quantifier_target_id.c;src/regparse.c;src/regparse.c
is_invalid_quantifier_target;False;NO_BODY;0:00:04.977184;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/is_invalid_quantifier_target.c;src/regparse.c;src/regparse.c
parse_char_class;True;TIMEOUT;0:04:00.000579;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/parse_char_class_id.c;src/regparse.c;src/regparse.c
parse_enclose;True;TIMEOUT;0:04:00.000632;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/parse_enclose_id.c;src/regparse.c;src/regparse.c
set_quantifier;True;TIMEOUT;0:04:00.000666;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/set_quantifier_id.c;src/regparse.c;src/regparse.c
parse_exp;True;TIMEOUT;0:04:00.000761;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/parse_exp_id.c;src/regparse.c;src/regparse.c
parse_branch;True;TIMEOUT;0:04:00.000731;/home/jonas/.cache/euf/oniguruma-d95bd55c/.harnesses/parse_branch_id.c;src/regparse.c;src/regparse.c
